rep,position,fraction,latency_ns,outlier
2,2358813,0.118037,74351,1
2,2358814,0.118037,69840,1
2,2358815,0.118037,67488,1
2,2358816,0.118038,64079,1
2,2359010,0.118047,34754,0
2,2359175,0.118055,64164,1
2,2359176,0.118056,67784,1
2,2359177,0.118056,67462,1
2,2359178,0.118056,69834,1
2,2359179,0.118056,67320,1
2,2359180,0.118056,69137,1
2,2359181,0.118056,65969,1
2,2359182,0.118056,64284,1
2,2366118,0.118403,69467,1
2,2366119,0.118403,65180,1
2,2367006,0.118447,34445,0
2,2375003,0.118848,37821,0
2,2380113,0.119103,116571,1
2,2380114,0.119103,112622,1
2,2380115,0.119103,108404,1
2,2380116,0.119103,104176,1
2,2380117,0.119103,100317,1
2,2380118,0.119103,96384,1
2,2380119,0.119104,92316,1
2,2380120,0.119104,88271,1
2,2380121,0.119104,83993,1
2,2380122,0.119104,79806,1
2,2380123,0.119104,75349,1
2,2380124,0.119104,71067,1
2,2380125,0.119104,66827,1
2,2383000,0.119248,35263,0
2,2383630,0.119279,65329,1
2,2390996,0.119648,34713,0
2,2396114,0.119904,67901,1
2,2398993,0.120048,34890,0
2,2400483,0.120123,75909,1
2,2400484,0.120123,71362,1
2,2400485,0.120123,66800,1
2,2406990,0.120448,35157,0
2,2414986,0.120848,34443,0
2,2418359,0.121017,82637,1
2,2418360,0.121017,79221,1
2,2418361,0.121017,75272,1
2,2418362,0.121017,71329,1
2,2418363,0.121017,67097,1
2,2422983,0.121248,34527,0
2,2430979,0.121649,34515,0
2,2438976,0.122049,35833,0
2,2444939,0.122347,64417,1
2,2446973,0.122449,34468,0
2,2454969,0.122849,38178,0
2,2462966,0.123249,36380,0
2,2469880,0.123595,67116,1
2,2470963,0.123649,36349,0
2,2478959,0.12405,36076,0
2,2485888,0.124396,71369,1
2,2485889,0.124396,66901,1
2,2486956,0.12445,37202,0
2,2494953,0.12485,35551,0
2,2502949,0.12525,34961,0
2,2510946,0.12565,35985,0
2,2518943,0.12605,34648,0
2,2522765,0.126242,65567,1
2,2526939,0.126451,34845,0
2,2530159,0.126612,63819,1
2,2534936,0.126851,37507,0
2,2542933,0.127251,34675,0
2,2548993,0.127554,64285,1
2,2550929,0.127651,35873,0
